Название;Категория;Калории (ккал);Белки (г);Жиры (г);Углеводы (г);Ссылка
"Перчик «Vitalnd» халапеньо острый, 370 мл";"Овощные соленья и консервация";20;0.5;;5;https://yarcheplus.ru/product/perchik-38719
"Вяленые томаты «Tomtom» в масле, 140 г";"Овощные соленья и консервация";510;8.5;40;30;https://yarcheplus.ru/product/vyalenye-tomaty-38867
"Икра «Пиканта» из баклажанов, 450 г";"Овощные соленья и консервация";110;;9;8;https://yarcheplus.ru/product/ikra-38348
"Томаты «Cardinale» резаные кусочками, в томатном соке, 400 г";"Овощные соленья и консервация";16;;;4;https://yarcheplus.ru/product/tomaty-37160
"Томаты «Cardinale» протертые, 400 г";"Овощные соленья и консервация";16;;;4;https://yarcheplus.ru/product/tomaty-37161
"Томаты «Cardinale» очищенные, в томатном соке, 400 г";"Овощные соленья и консервация";17;;;4.2;https://yarcheplus.ru/product/tomaty-37162
"Икра кабачковая «Домашние заготовки», 450 г";"Овощные соленья и консервация";90;;7;7;https://yarcheplus.ru/product/ikra-kabachkovaya-37042
"Зеленый горошек «Домашние заготовки» нежный, 450 мл";"Овощные соленья и консервация";35;3;;6;https://yarcheplus.ru/product/zeleniy-goroshek-34448
"Сахарная кукуруза «Домашние заготовки», 425 мл";"Овощные соленья и консервация";50;2;;11;https://yarcheplus.ru/product/sakharnaya-kukuruza-3521
"Зеленый горошек «Домашние заготовки», 425 мл";"Овощные соленья и консервация";38;3.1;;6.5;https://yarcheplus.ru/product/zeleniy-goroshek-3645
"Шампиньоны резаные «Домашние заготовки», 425 мл";"Овощные соленья и консервация";12;1.6;0.2;0.9;https://yarcheplus.ru/product/shampinyony-rezanye-4368
"Огурцы «Домашние заготовки» маринованные, 720 мл";"Овощные соленья и консервация";12;;;3;https://yarcheplus.ru/product/ogurtsy-7915
"Томаты маринованные «Домашние заготовки», 720 мл";"Овощные соленья и консервация";14;;;3.5;https://yarcheplus.ru/product/tomaty-marinovannye-4143
"Томаты черри маринованные «Домашние заготовки», 720 мл";"Овощные соленья и консервация";14;;;3.5;https://yarcheplus.ru/product/tomaty-cherri-marinovannye-4371
"Лечо «Домашние заготовки», 720 мл";"Овощные соленья и консервация";40;1;;9.5;https://yarcheplus.ru/product/lecho-7800
"Красная фасоль «Домашние заготовки» натуральная, 400 г";"Овощные соленья и консервация";75;5;0.5;13;https://yarcheplus.ru/product/krasnaya-fasol-3997
"Красная фасоль «Домашние заготовки» в томатном соусе, 400 г";"Овощные соленья и консервация";95;5.8;0.5;16;https://yarcheplus.ru/product/krasnaya-fasol-3741
"Белая фасоль «Домашние заготовки» в томатном соусе, 400 г, 400 мл";"Овощные соленья и консервация";95;5.8;0.5;16;https://yarcheplus.ru/product/belaya-fasol-4044
"Белая фасоль «Домашние заготовки» натуральная, 400 г";"Овощные соленья и консервация";75;5;0.5;13;https://yarcheplus.ru/product/belaya-fasol-4039
"Хумус «СиД» «Абу-Гош» с жареным зеленым перцем и чесноком, 200 г";"Овощные соленья и консервация";225;7;17;12;https://yarcheplus.ru/product/khumus-35616
"Имбирь маринованный, 240 г";"Овощные соленья и консервация";40;;;10;https://yarcheplus.ru/product/imbir-marinovanniy-32038
"Каперсы «Gustoria», 106 мл";"Овощные соленья и консервация";36.4;3;0.6;4;https://yarcheplus.ru/product/kapersy-27783
"Икра «Tomtom» из запеченного сладкого перца с вялеными томатами, 250 г";"Овощные соленья и консервация";180;3.5;12;15;https://yarcheplus.ru/product/ikra-18346
"Мякоть томатов протертая «Пиканта» Passata, 340 г";"Овощные соленья и консервация";30;1.5;;6.5;https://yarcheplus.ru/product/myakot-tomatov-protertaya-30257
"Хумус с кедровыми орешками, 200 г";"Овощные соленья и консервация";362;17;26;15;https://yarcheplus.ru/product/khumus-17616
"Зеленый горошек «Дядя Ваня», 400 г";"Овощные соленья и консервация";35;3;;6;https://yarcheplus.ru/product/zeleniy-goroshek-25045
"Оливки «OLIBEN» с анчоусом, 270 г";"Оливки, маслины";162;1.8;15.4;4.1;https://yarcheplus.ru/product/olivki-27193
"Маслины «OLIBEN» крупные, без косточки, 270 г";"Оливки, маслины";139;0.9;15;;https://yarcheplus.ru/product/masliny-23279
"Маслины «OLIBEN» без косточки, 270 г";"Оливки, маслины";128;0.5;14;;https://yarcheplus.ru/product/masliny-24102
"Оливки Мансанилья «Bonduelle» фаршированные сладким перцем, 314 мл";"Оливки, маслины";166.67;2.17;10.5;5.1;https://yarcheplus.ru/product/olivki-mansanilya-22544
"Оливки «OLIBEN» крупные без косточки, 270 г";"Оливки, маслины";139;0.9;15;;https://yarcheplus.ru/product/olivki-29122
"Оливки «OLIBEN» крупные с лимоном, 270 г";"Оливки, маслины";145;1;15.4;;https://yarcheplus.ru/product/olivki-27466
"Оливки «OLIBEN» без косточки, 270 г";"Оливки, маслины";139;0.9;15;;https://yarcheplus.ru/product/olivki-27194
"Абрикосы в сиропе «Домашние сладости», 580 мл";"Фруктовая консервация";89;0.5;0.1;21.4;https://yarcheplus.ru/product/abrikosy-v-sirope-5085
"Ананасы «Sambo» кусочки в сиропе, 580 мл";"Фруктовая консервация";68;0.62;;16.3;https://yarcheplus.ru/product/ananasy-6708
"Ананасы «Sambo» кольца в сиропе, 580 мл";"Фруктовая консервация";68;0.62;;16.3;https://yarcheplus.ru/product/ananasy-5088
"Манго «Sambo» ломтики в сиропе, 425 мл";"Фруктовая консервация";65;0.4;;15.9;https://yarcheplus.ru/product/mango-34029
"Персики в сиропе «Домашние сладости», 580 г";"Фруктовая консервация";74;0.4;0.1;19.9;https://yarcheplus.ru/product/persiki-v-sirope-5322
"Семечки «Бабкины семечки» полосатые, солёные, 90 г";"Семечки";671;11.94;27.32;3.48;https://yarcheplus.ru/product/semechki-40171
"Семечки «Бабкины семечки» полосатые, жареные, 240 г";"Семечки";671;12.5;46.85;3.65;https://yarcheplus.ru/product/semechki-40172
"Семечки «Бабкины семечки» полосатые, жареные, 90 г";"Семечки";671;12.5;46.85;3.65;https://yarcheplus.ru/product/semechki-40170
"Семечки «Бабкины семечки» полосатые соленые, 240 г";"Семечки";671;11.94;27.32;3.48;https://yarcheplus.ru/product/semechki-40173
"Ядра тыквы «От Винта» жареные, 60 г";"Семечки";606;30.2;49.1;10.7;https://yarcheplus.ru/product/yadra-tykvy-38731
"Семечки «Бабкины семечки» очищенные, соленые, 100 г";"Семечки";671;24.68;54.3;16.78;https://yarcheplus.ru/product/semechki-38457
"Семечки «Бабкины семечки» жареные, очищенные, 100 г";"Семечки";671;25.05;55.11;17.03;https://yarcheplus.ru/product/semechki-38456
"Семечки отборные, жареные «Бабкины семечки», 300 г";"Семечки";581;27;49;8.5;https://yarcheplus.ru/product/semechki-otbornye-zharenye-4455
"Семечки жареные, солёные «Бабкины семечки», 100 г";"Семечки";581;27;49;8.5;https://yarcheplus.ru/product/semechki-zharenye-solyonye-4165
"Семечки жареные, солёные «Бабкины семечки», 300 г";"Семечки";581;27;49;8.5;https://yarcheplus.ru/product/semechki-zharenye-solyonye-4234
"Семечки отборные, жареные «Бабкины семечки», 100 г";"Семечки";581;27;49;8.5;https://yarcheplus.ru/product/semechki-otbornye-zharenye-4298
"Семечки отборные, жареные «Бабкины семечки», 500 г";"Семечки";581;27;49;8.5;https://yarcheplus.ru/product/semechki-otbornye-zharenye-4267
"Семечки тыквенные отборные, жареные «Бабкины семечки», 150 г";"Семечки";590;29;47;17;https://yarcheplus.ru/product/semechki-tykvennye-otbornye-zharenye-4227
"Семечки тыквенные отборные, жареные «Бабкины семечки», 70 г";"Семечки";590;29;47;17;https://yarcheplus.ru/product/semechki-tykvennye-otbornye-zharenye-4307
"Семечки жареные «Зум-Зум, Гигазум» с гималайской солью, 170 г";"Семечки";573;20.7;52.9;3.4;https://yarcheplus.ru/product/semechki-zharenye-35966
"Семена тыквенные очищенные, 60 г";"Семечки";574;29.84;49.05;8.21;https://yarcheplus.ru/product/semena-tykvennye-31641
"Чипсы кукурузные «PAPA NACHOS» со вкусом Тайский кисло-сладкий соус чили, 75 г";"Чипсы";460;6.5;23;57;https://yarcheplus.ru/product/chipsy-kukuruznye-40708
"Чипсы кукурузные «PAPA NACHOS» со вкусом сыра, 75 г";"Чипсы";460;6.5;22;57;https://yarcheplus.ru/product/chipsy-kukuruznye-40709
"Чипсы «Lay's» рифленые со вкусом Пряная креветка, 105 г";"Чипсы";530;;33.6;;https://yarcheplus.ru/product/chipsy-40469
"Чипсы «Лейз» рифленые со вкусом Чили и лайм, 105 г";"Чипсы";530;;33.6;;https://yarcheplus.ru/product/chipsy-40470
"Чипсы картофельные соломкой «Деревенские» со вкусом сметанного соуса, 120 г";"Чипсы";520;6;32;50;https://yarcheplus.ru/product/chipsy-kartofelnye-solomkoy-40249
"Чипсы картофельные соломкой «Деревенские» со вкусом соленых грибов, 120 г";"Чипсы";520;6;32;50;https://yarcheplus.ru/product/chipsy-kartofelnye-solomkoy-40248
"Чипсы картофельные «BigBon» со вкусом «Черный Ангус на гриле», 75 г";"Чипсы";490;6;31;46;https://yarcheplus.ru/product/chipsy-kartofelnye-39826
"Чипсы картофельные «BigBon» со вкусом «Ассорти грибов», 75 г";"Чипсы";455;4;32;63;https://yarcheplus.ru/product/chipsy-kartofelnye-39825
"Луковые кольца «Mini Free» со вкусом курицы гриль, 45 г";"Чипсы";500;4.5;29;55;https://yarcheplus.ru/product/lukovye-koltsa-38725
"Луковые кольца «Mini Free» со вкусом жареной креветки, 45 г";"Чипсы";500;4.5;29;56;https://yarcheplus.ru/product/lukovye-koltsa-38727
"Чипсы «PRO-Чипсы» натуральные картофельные со вкусом краба, 60 г";"Чипсы";510;6;31;51;https://yarcheplus.ru/product/chipsy-38580
"Чипсы «Чипсоны» со вкусом шашлыка, 40 г";"Чипсы";530;2.5;31;59;https://yarcheplus.ru/product/chipsy-4239
"Чипсы «Чипсоны» со вкусом сметаны и лука, 40 г";"Чипсы";540;3;30;63;https://yarcheplus.ru/product/chipsy-4447
"Чипсы «Чипсоны» со вкусом краба, 40 г";"Чипсы";510;5;28;59;https://yarcheplus.ru/product/chipsy-3652
"Луковые кольца «Mini Free» со вкусом сметаны, 45 г";"Чипсы";480;4;23;64;https://yarcheplus.ru/product/lukovye-koltsa-4263
"Луковые кольца «Mini Free» со вкусом сыра, 45 г";"Чипсы";470;4;23;63;https://yarcheplus.ru/product/lukovye-koltsa-4269
"Луковые кольца «Mini Free» со вкусом бекона, 45 г";"Чипсы";470;4;23;63;https://yarcheplus.ru/product/lukovye-koltsa-4308
"Чипсы «Хрустящий картофель» со вкусом сыра, 40 г";"Чипсы";490;6;30;52;https://yarcheplus.ru/product/chipsy-3562
"Чипсы «Хрустящий картофель» со вкусом сыра, 160 г";"Чипсы";490;6;30;52;https://yarcheplus.ru/product/chipsy-4442
"Чипсы «Хрустящий картофель» со вкусом сметаны и лука, 40 г";"Чипсы";490;6;30;52;https://yarcheplus.ru/product/chipsy-4450
"Чипсы «Хрустящий картофель» со вкусом сметаны и лука, 160 г";"Чипсы";490;6;30;52;https://yarcheplus.ru/product/chipsy-4312
"Чипсы «Хрустящий картофель» с солью, 40 г";"Чипсы";490;6;31;50;https://yarcheplus.ru/product/chipsy-4454
"Чипсы «Хрустящий картофель» с солью, 160 г";"Чипсы";490;6;31;50;https://yarcheplus.ru/product/chipsy-4262
"Чипсы «Хрустящий картофель» со вкусом бекона, 160 г";"Чипсы";490;6;30;52;https://yarcheplus.ru/product/chipsy-4257
"Чипсы «Хрустящий картофель» со вкусом бекона, 40 г";"Чипсы";490;6;30;52;https://yarcheplus.ru/product/chipsy-4253
"Чипсы «PRO-Чипсы» натуральные картофельные со вкусом бекона, 60 г";"Чипсы";500;6;30;52;https://yarcheplus.ru/product/chipsy-4260
"Чипсы «PRO-Чипсы» натуральные картофельные со вкусом сметаны и лука, 150 г";"Чипсы";500;6;30;52;https://yarcheplus.ru/product/chipsy-4156
"Чипсы «PRO-Чипсы» натуральные картофельные со вкусом сметаны и лука, 60 г";"Чипсы";500;6;30;52;https://yarcheplus.ru/product/chipsy-3621
"Чипсы «PRO-Чипсы» натуральные картофельные со вкусом сыра, 150 г";"Чипсы";500;6;30;52;https://yarcheplus.ru/product/chipsy-4158
"Чипсы «PRO-Чипсы» натуральные картофельные со вкусом сыра, 60 г";"Чипсы";500;6;30;52;https://yarcheplus.ru/product/chipsy-4248
"Чипсы «Bon Giorno» Песто с пармезаном, 80 г";"Чипсы";520;6.5;33;49;https://yarcheplus.ru/product/chipsy-36400
"Чипсы «Maxi Chips» со вкусом сметаны и лука, 100 г";"Чипсы";561;6.5;35;55;https://yarcheplus.ru/product/chipsy-35780
"Чипсы «Maxi Chips» со вкусом курицы, 100 г";"Чипсы";561;6.5;35;55;https://yarcheplus.ru/product/chipsy-35779
"Чипсы «Maxi Chips» со вкусом грибов и сметаны, 100 г";"Чипсы";561;6.5;35;55;https://yarcheplus.ru/product/chipsy-35778
"Чипсы «Maxi Chips» со вкусом тайского перца, 100 г";"Чипсы";510;7;30;53;https://yarcheplus.ru/product/chipsy-35781
"Морская капуста «Hokang» жареная «КИМ» со вкусом барбекю, 5 г";"Чипсы";465;28;32;30;https://yarcheplus.ru/product/morskaya-kapusta-35777
"Морская капуста «Hokang» жареная «КИМ» со вкусом кимчи, 5 г";"Чипсы";610;19;45;32;https://yarcheplus.ru/product/morskaya-kapusta-35773
"Чипсы «HAPPY CRISP» цельнозерновые кукурузно-рисовые «Альпийский сыр», 50 г";"Чипсы";420;7.5;14;67;https://yarcheplus.ru/product/chipsy-35239
"Чипсы «Чипсоны» со вкусом бекона, 40 г";"Чипсы";530;2;32;58;https://yarcheplus.ru/product/chipsy-4439
"Чипсы «Lay's» Сметана и зелень, 70 г";"Чипсы";510;6;32;53;https://yarcheplus.ru/product/chipsy-34216
"Чипсы «Lay's» Краб, 70 г";"Чипсы";520;6;32;52;https://yarcheplus.ru/product/chipsy-34214
"Чипсы «Lay's» Молодой зеленый лук, 70 г";"Чипсы";520;6;32;53;https://yarcheplus.ru/product/chipsy-34215
"Чипсы «Lay's» Сыр, 70 г";"Чипсы";520;6;32;53;https://yarcheplus.ru/product/chipsy-34210
"Чипсы цельнозерновые «HAPPY CRISP» кукурузно-рисовые «Пряный томат», 50 г";"Чипсы";420;7.5;14;67;https://yarcheplus.ru/product/chipsy-tselnozernovye-30621
"Чипсы кукурузные «Mission» Сметана с луком, 90 г";"Чипсы";470;6.5;22.5;57;https://yarcheplus.ru/product/chipsy-kukuruznye-29693
"Чипсы кукурузные «Mission» Краб камчатский, 90 г";"Чипсы";480;6;24.5;56;https://yarcheplus.ru/product/chipsy-kukuruznye-29691
"Чипсы «Lay's» Сметана и лук, 140 г";"Чипсы";510;6;30;53;https://yarcheplus.ru/product/chipsy-31659
"Чипсы «Hroom» со вкусом сыра, 50 г";"Чипсы";500;5;22;66;https://yarcheplus.ru/product/chipsy-3922
"Гренки «Beerka» со вкусом жареной креветки, 60 г";"Сухарики и гренки";430;8.98;15.76;64.49;https://yarcheplus.ru/product/grenki-40790
"Гренки «Beerka» со вкусом баварских колбасок и кетчупом Сalve, 85 г";"Сухарики и гренки";405;6.09;9.31;41.44;https://yarcheplus.ru/product/grenki-40789
"Сухарики «3 Корочки» со вкусом сёмги с сыром, 100 г";"Сухарики и гренки";390;10;10;64;https://yarcheplus.ru/product/sukhariki-36704
"Сухарики «3 Корочки» Бекон, 100 г";"Сухарики и гренки";390;10;10;64;https://yarcheplus.ru/product/sukhariki-39233
"Сухарики «3 Корочки» со вкусом томата и зелени, 100 г";"Сухарики и гренки";390;10;10;64;https://yarcheplus.ru/product/sukhariki-39234
"Сухарики «3 Корочки» со вкусом холодца с хреном, 100 г";"Сухарики и гренки";380;10;10;63;https://yarcheplus.ru/product/sukhariki-39235
"Сухарики «Кириешки Baguet» Лобстер + чесночный соус, 70 г";"Сухарики и гренки";400;11;13;67;https://yarcheplus.ru/product/sukhariki-30315
"Сухарики «Кириешки» со вкусом сёмги с сыром и соусом тартар Calve, 85 г";"Сухарики и гренки";410;11;8.5;73;https://yarcheplus.ru/product/sukhariki-5984
"Сухарики «Кириешки» со вкусом холодца с хреном и горчичным соусом Calve, 85 г";"Сухарики и гренки";400;12;7.5;71;https://yarcheplus.ru/product/sukhariki-6218
"Сухарики «Кириешки» ржаные со вкусом чеснока и сырным соусом, 85 г";"Сухарики и гренки";400;9.5;6.5;77;https://yarcheplus.ru/product/sukhariki-6151
"Сухарики «Кириешки» со вкусом шашлыка и кетчупом Calve, 85 г";"Сухарики и гренки";410;11;8.5;73;https://yarcheplus.ru/product/sukhariki-6439
"Сухарики «Кириешки Maxi» со вкусом стейка с черным перцем и соусом барбекю Calve, 75 г";"Сухарики и гренки";416;10.5;10;71;https://yarcheplus.ru/product/sukhariki-5983
"Сухарики «Кириешки Baguet» со вкусом пиццы и сырным соусом Calve, 70 г";"Сухарики и гренки";416;10.5;10;71;https://yarcheplus.ru/product/sukhariki-6156
"Сухарики «Кириешки Maxi» со вкусом роллов «Сяке маки» и с соусом со вкусом васаби, 50 г";"Сухарики и гренки";400;10;10;68;https://yarcheplus.ru/product/sukhariki-30314
"Сухарики «Кириешки Baguet» со вкусом аргентинских ребрышек, 50 г";"Сухарики и гренки";430;11;13;67;https://yarcheplus.ru/product/sukhariki-34757
"Сухарики «Кириешки» со вкусом краба, 40 г";"Сухарики и гренки";400;10;10;68;https://yarcheplus.ru/product/sukhariki-33540
"Сухарики «Кириешки Light» «Сёмга с сыром», 33 г";"Сухарики и гренки";400;11;8;69;https://yarcheplus.ru/product/sukhariki-31910
"Сухарики «Кириешки Light» Холодец с хреном, 33 г";"Сухарики и гренки";410;11;11;66;https://yarcheplus.ru/product/sukhariki-31908
"Сухарики «Кириешки Light» Семга с сыром, 80 г";"Сухарики и гренки";400;11;8;69;https://yarcheplus.ru/product/sukhariki-31915
"Сухарики «Krutonoff» с прованскими травами для салатов и супов, 100 г";"Сухарики и гренки";400;9.5;6.5;77;https://yarcheplus.ru/product/sukhariki-6247
"Сухарики «Крутоноф» с чесноком, 100 г";"Сухарики и гренки";400;9.5;6.5;77;https://yarcheplus.ru/product/sukhariki-6427
"Сухарики «Кириешки Baguet» со вкусом сметаны и сыра, 45 г";"Сухарики и гренки";416;10.5;10;71;https://yarcheplus.ru/product/sukhariki-6023
"Сухарики «Кириешки Baguet» со вкусом краба, 50 г";"Сухарики и гренки";416;10.5;10;71;https://yarcheplus.ru/product/sukhariki-6282
"Сухарики «Кириешки Light» со вкусом сметаны и зелени, 80 г";"Сухарики и гренки";416;10.7;9.9;70.8;https://yarcheplus.ru/product/sukhariki-6442
"Сухарики «Кириешки Light» со вкусом сметаны и зелени, 33 г";"Сухарики и гренки";416;10.7;9.9;70.8;https://yarcheplus.ru/product/sukhariki-6205
"Сухарики «Кириешки Light» со вкусом сливочного сыра, 80 г";"Сухарики и гренки";416;10.7;9.9;70.8;https://yarcheplus.ru/product/sukhariki-6219
"Сухарики «Кириешки Light» со вкусом сливочного сыра, 33 г";"Сухарики и гренки";416;10.7;9.9;70.8;https://yarcheplus.ru/product/sukhariki-6126
"Сухарики «Кириешки Light» со вкусом ветчины с сыром, 80 г";"Сухарики и гренки";416;10.7;9.9;70.8;https://yarcheplus.ru/product/sukhariki-6016
"Сухарики «Кириешки Light» со вкусом ветчины с сыром, 33 г";"Сухарики и гренки";416;10.7;9.9;70.8;https://yarcheplus.ru/product/sukhariki-6398
"Сухарики «Кириешки Maxi» со вкусом сладкого чили, 60 г";"Сухарики и гренки";416;10.5;10;71;https://yarcheplus.ru/product/sukhariki-6409
"Сухарики «Кириешки Maxi» Жареная креветка, 60 г";"Сухарики и гренки";416;10.5;10;71;https://yarcheplus.ru/product/sukhariki-6421
"Сухарики Maxi «Кириешки» со вкусом соуса начо, 60 г";"Сухарики и гренки";416;10.5;10;71;https://yarcheplus.ru/product/sukhariki-maxi-5621
"Сухарики «Кириешки» со вкусом бекона, 100 г";"Сухарики и гренки";400;12;7.5;71;https://yarcheplus.ru/product/sukhariki-6431
"Сухарики «Кириешки» со вкусом бекона, 40 г";"Сухарики и гренки";400;12;7.5;71;https://yarcheplus.ru/product/sukhariki-6461
"Сухарики «Кириешки» со вкусом ветчины и сыра, 100 г";"Сухарики и гренки";400;12;7.5;71;https://yarcheplus.ru/product/sukhariki-6141
"Сухарики «Кириешки» со вкусом ветчины и сыра, 40 г";"Сухарики и гренки";400;12;7.5;71;https://yarcheplus.ru/product/sukhariki-6430
"Сухарики «Кириешки» со вкусом красной икры, 40 г";"Сухарики и гренки";400;12;7.5;71;https://yarcheplus.ru/product/sukhariki-6210
"Сухарики «Кириешки» со вкусом салями, 40 г";"Сухарики и гренки";400;12;7.5;71;https://yarcheplus.ru/product/sukhariki-6166
"Сухарики «Кириешки» со вкусом холодца с хреном, 100 г";"Сухарики и гренки";400;12;7.5;71;https://yarcheplus.ru/product/sukhariki-6443
"Сухарики «Кириешки» со вкусом холодца с хреном, 40 г";"Сухарики и гренки";400;12;7.5;71;https://yarcheplus.ru/product/sukhariki-6020
"Гренки «Beerka» со вкусом чеснока с укропом и сметанным соусом, 85 г";"Сухарики и гренки";420;9;9;75;https://yarcheplus.ru/product/grenki-6146
"Сухарики «Кириешки» Max со вкусом охотничьих колбасок, 40 г";"Сухарики и гренки";410;11;8.5;73;https://yarcheplus.ru/product/sukhariki-6181
"Сухарики «Кириешки» со вкусом стейка и соусом барбекю, 85 г";"Сухарики и гренки";400;9.5;6.5;77;https://yarcheplus.ru/product/sukhariki-6460
"Сухарики «3 Корочки» со вкусом холодца с хреном и горчичным соусом Calve, 80 г";"Сухарики и гренки";410;11;8.5;73;https://yarcheplus.ru/product/sukhariki-6039
"Сухарики «3 Корочки» со вкусом семги с сыром и соусом тартар Calve, 80 г";"Сухарики и гренки";410;11;8.5;73;https://yarcheplus.ru/product/sukhariki-6396
"Сухарики «3 Корочки» ржаные со вкусом малосольных огурчиков и соусом тартар, 80 г";"Сухарики и гренки";410;11;8.5;73;https://yarcheplus.ru/product/sukhariki-6217
"Сухарики «3 Корочки» со вкусом курицы и соусом терияки Calve, 85 г";"Сухарики и гренки";410;11;8.5;73;https://yarcheplus.ru/product/sukhariki-6299
"Сухарики «3 Корочки» со вкусом бекона, 40 г";"Сухарики и гренки";410;11;8.5;73;https://yarcheplus.ru/product/sukhariki-6044
"Палочки кукурузные «Gipopo» Яблоко-ягоды, 20 г";"Попкорн и кукурузные палочки";400;6.8;1.5;84.9;https://yarcheplus.ru/product/palochki-kukuruznye-37454
"Попкорн «Бомбастер» сыр, 35 г";"Попкорн и кукурузные палочки";550;6;36;51;https://yarcheplus.ru/product/popkorn-3831
"Попкорн «Бомбастер» с солью, 35 г";"Попкорн и кукурузные палочки";550;6;36;50;https://yarcheplus.ru/product/popkorn-4030
"Попкорн «Бомбастер» с солью, 80 г";"Попкорн и кукурузные палочки";550;6;36;50;https://yarcheplus.ru/product/popkorn-30611
"Попкорн «Бомбастер» со вкусом сыра, 80 г";"Попкорн и кукурузные палочки";550;6;36;51;https://yarcheplus.ru/product/popkorn-17220
"Попкорн «Бомбастер» Кола, 50 г";"Попкорн и кукурузные палочки";420;3;4;92;https://yarcheplus.ru/product/popkorn-24383
"Попкорн «Бомбастер» карамель, 50 г";"Попкорн и кукурузные палочки";400;4.5;9.5;73;https://yarcheplus.ru/product/popkorn-3804
"Попкорн «Бомбастер» клубника, 50 г";"Попкорн и кукурузные палочки";400;3;10;74;https://yarcheplus.ru/product/popkorn-3873
"Кукурузные палочки «Кузя Лакомкин», 140 г";"Попкорн и кукурузные палочки";510;4;23;72;https://yarcheplus.ru/product/kukuruznye-palochki-16323
"Кукурузные палочки «Никитка», 160 г";"Попкорн и кукурузные палочки";411;8;11.3;75.2;https://yarcheplus.ru/product/kukuruznye-palochki-4432
"Колбаски вяленые «Атлантика» из лосося, 60 г";"Сушеные морепродукты";177;24;9;;https://yarcheplus.ru/product/kolbaski-vyalenye-39956
"Кальмар «Beerka» сушеный, 38 г";"Сушеные морепродукты";250;23;1;37;https://yarcheplus.ru/product/kalmar-4179
"Кальмар копченый кольца, 50 г";"Сушеные морепродукты";260;36;1;26;https://yarcheplus.ru/product/kalmar-kopcheniy-2543
"Минтай «Beerka» ломтики филе сушеные, 70 г";"Сушеные морепродукты";270;40;2;24;https://yarcheplus.ru/product/mintay-4453
"Рыбка сушеная «Beerka» Янтарная соломка, 25 г";"Сушеные морепродукты";250;41;1.5;18;https://yarcheplus.ru/product/rybka-sushenaya-4219
"Рыбка сушеная «Beerka» анчоус, 25 г";"Сушеные морепродукты";260;49;7;;https://yarcheplus.ru/product/rybka-sushenaya-4193
"Рыбка сушеная Янтарная с перцем, 100 г";"Сушеные морепродукты";260;42;1.5;20;https://yarcheplus.ru/product/rybka-sushenaya-4296
"Рыбка сушеная анчоус, 50 г";"Сушеные морепродукты";260;49;7;;https://yarcheplus.ru/product/rybka-sushenaya-4274
"Морская капуста «Hokang» жареная «КИМ», 5 г";"Сушеные морепродукты";610;19;45;32;https://yarcheplus.ru/product/morskaya-kapusta-24221
"Мясной снек «Beerka» из курицы, 90 г";"Мясные снеки";366;24;30;;https://yarcheplus.ru/product/myasnoy-snek-29848
"Мясной снек «Beerka» Мини-салями, 50 г";"Мясные снеки";486;18;46;;https://yarcheplus.ru/product/myasnoy-snek-29639
"Колбаски «Пиколини» Дижонская горчица, 50 г";"Мясные снеки";475;22;43;;https://yarcheplus.ru/product/kolbaski-30492
"Колбаски «Черкизово» Мясной снек классический, 70 г";"Мясные снеки";480;19;44;;https://yarcheplus.ru/product/kolbaski-27022
"Колбаски «Черкизово» Мясной снек Сладкий чили, 70 г";"Мясные снеки";322;18;35;5;https://yarcheplus.ru/product/kolbaski-27020
"Фруктовый микс «Filipino Sun» манго, джекфрут, ананас, 100 г";"Сушеные фрукты";350;1;;85;https://yarcheplus.ru/product/fruktoviy-miks-40769
"Папайя сушеная «Вьетконг», 100 г";"Сушеные фрукты";317;0.78;0.16;78;https://yarcheplus.ru/product/papayya-sushenaya-40391
"Бананы сушеные «Вьетконг», 70 г";"Сушеные фрукты";239;4.5;0.6;54;https://yarcheplus.ru/product/banany-sushenye-40390
"Маракуйя сушеная «Good fruit», 80 г";"Сушеные фрукты";320;1;;80;https://yarcheplus.ru/product/marakuyya-sushenaya-39844
"Джекфрут чипсы обжаренные «Good fruit», 60 г";"Сушеные фрукты";450;5;13;79;https://yarcheplus.ru/product/dzhekfrut-chipsy-obzharennye-39454
"Папайя сушеная «Good fruit», 70 г";"Сушеные фрукты";330;1;;82;https://yarcheplus.ru/product/papayya-sushenaya-39452
"Питахайя сушеная «Good fruit», 70 г";"Сушеные фрукты";380;6;5;77;https://yarcheplus.ru/product/pitakhayya-sushenaya-39453
"Чернослив без косточки, 150 г";"Сушеные фрукты";240;2.3;0.7;57.51;https://yarcheplus.ru/product/chernosliv-38768
"Маракуйя сушеная «Вьетконг», 80 г";"Сушеные фрукты";295;3;1;69;https://yarcheplus.ru/product/marakuyya-sushenaya-37866
"Чипсы кокосовые «Costa Cocosta» со вкусом васаби, 40 г";"Сушеные фрукты";506;5.8;25.6;63;https://yarcheplus.ru/product/chipsy-kokosovye-37687
"Изюм Малаяр, 100 г";"Сушеные фрукты";264;2.9;0.6;66;https://yarcheplus.ru/product/izyum-malayar-8023
"Манго сушеное «Good fruit», 100 г";"Сушеные фрукты";360;1.5;;72;https://yarcheplus.ru/product/mango-sushenoe-28250
"Пастилки «Правильные сладости» Сливовые, 70 г";"Сушеные фрукты";330;1;0.2;81;https://yarcheplus.ru/product/pastilki-31791
"Пастилки «Правильные сладости» Яблочные, 70 г";"Сушеные фрукты";340;1;0.2;84;https://yarcheplus.ru/product/pastilki-31895
